iter	Passed	Remaining
0	0	85
1	1	88
2	2	85
3	3	78
4	4	77
5	5	90
6	6	86
7	7	82
8	7	79
9	8	76
10	9	74
11	9	72
12	10	70
13	11	68
14	11	66
15	12	64
16	12	62
17	13	61
18	14	60
19	14	58
20	15	56
21	15	55
22	16	54
23	16	53
24	17	53
25	18	52
26	18	51
27	19	50
28	20	49
29	20	48
30	21	47
31	21	46
32	22	45
33	23	45
34	23	44
35	24	43
36	25	42
37	25	41
38	26	40
39	26	40
40	27	39
41	27	37
42	27	37
43	28	36
44	29	35
45	29	34
46	30	33
47	30	33
48	31	32
49	31	31
50	32	31
51	33	30
52	34	30
53	34	29
54	35	28
55	36	28
56	36	27
57	37	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	42	21
66	42	20
67	43	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	14
76	47	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	55	6
90	56	5
91	56	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
